path,groupIndex,offs,dataType,coe,descr,value
RMS_Voltage_a,3,2050,INT,1,A相电压有效值,0
RMS_Voltage_b,3,2052,INT,1,B相电压有效值,0
RMS_Voltage_c,3,2054,INT,1,C相电压有效值,0
RMS_Current_a,3,2056,INT,1,A相电流有效值,0
RMS_Current_b,3,2058,INT,1,B相电流有效值,0
RMS_Current_c,3,2060,INT,1,C相电流有效值,0
Total_kW,3,2062,INT,1,总有功功率,0
Total_kvar,3,2064,INT,1,总无功功率,0
Total_kVA,3,2066,INT,1,总视在功率,0
Total_kVAh,3,2068,FLOAT,1,总电量,0
Total_Power_Factor,3,2070,FLOAT,1,总功率因数,0
Frequency,3,2072,FLOAT,1,频率,0
Voltage_unbalance,3,2074,FLOAT,1,三相电压不平衡度,0
Current_unbalance,3,2076,FLOAT,1,三相电流不平衡度,0
Voltage_THD_a,3,2078,FLOAT,1,A相电压谐波含量,0
Voltage_THD_b,3,2080,FLOAT,1,B相电压谐波含量,0
Voltage_THD_c,3,2082,FLOAT,1,C相电压谐波含量,0
Current_THD_a,3,2084,FLOAT,1,A相电流谐波含量,0
Current_THD_b,3,2086,FLOAT,1,B相电流谐波含量,0
Current_THD_c,3,2088,FLOAT,1,C相电流谐波含量,0
